epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.2159090909090909,2.4415662115270442,0.6022727272727273,0.66875,1.8870341420173644,0.9375
1,0.5265151515151515,1.8325375672542688,0.865909090909091,0.771875,1.0638271287083625,0.984375
2,0.6954545454545454,1.2078148177175811,0.9575757575757575,0.85625,0.5107314012944698,0.996875
3,0.7924242424242425,0.803251376748085,0.9772727272727273,0.8875,0.3628885796293616,1.0
4,0.8166666666666667,0.664874328898661,0.9856060606060606,0.934375,0.23668461134657265,0.9875
5,0.8666666666666667,0.45604914779012856,0.9939393939393939,0.909375,0.2772691770456731,1.0
6,0.8795454545454545,0.44065598287817204,0.990909090909091,0.959375,0.14537151793483644,1.0
7,0.8939393939393939,0.3463160359724001,0.996969696969697,0.940625,0.15754579839122015,1.0
8,0.9143939393939394,0.3153564780950546,0.9984848484848485,0.96875,0.11714351351838559,1.0
9,0.9143939393939394,0.2887531252069907,0.9946969696969697,0.96875,0.0862457302675466,1.0
10,0.9257575757575758,0.25090584743655087,1.0,0.98125,0.06224454250987037,1.0
11,0.943939393939394,0.18365586311415288,0.9992424242424243,0.9875,0.04028296653777943,1.0
12,0.95,0.17922304617523244,0.996969696969697,0.978125,0.06589884416316635,1.0
13,0.9454545454545454,0.1634799784529164,0.9992424242424243,0.975,0.05730433102726238,1.0
14,0.9477272727272728,0.159104034857768,0.9992424242424243,0.9625,0.07094777021702611,1.0
15,0.9628787878787879,0.12489475692255479,1.0,0.975,0.06185471810713352,1.0
